Source_Row_Index,ID,Selected_Cluster,Alternative_K3_Cluster
0,5524,0,2
1,2174,1,1
2,4141,0,0
3,6182,1,1
4,5324,0,0
5,7446,0,0
6,965,0,0
7,6177,1,1
8,4855,1,1
9,5899,1,1
10,1994,1,1
11,387,1,1
12,2125,0,2
13,8180,1,0
14,2569,1,1
15,2114,0,2
16,9736,1,1
17,4939,1,0
18,6565,0,0
19,2278,1,1
20,9360,1,1
21,5376,0,2
22,1993,0,0
23,4047,0,0
24,1409,1,0
25,7892,1,1
26,2404,1,0
27,5255,0,0
28,9422,1,1
29,1966,0,2
30,6864,1,1
31,3033,0,2
32,5710,1,0
33,7373,1,0
34,8755,0,2
35,10738,1,1
36,4339,0,0
37,10755,1,1
38,8595,1,1
39,2968,0,2
40,8601,0,2
41,503,1,1
42,8430,1,1
43,7281,0,2
44,2139,1,1
45,1371,0,2
46,9909,1,1
47,7286,1,1
48,7244,1,1
49,6566,0,0
50,8614,0,2
51,4114,0,2
52,1331,1,1
53,2225,0,2
54,9381,0,0
55,6260,0,2
56,10383,0,2
57,7437,1,1
58,8557,1,1
59,8375,0,0
60,6853,0,2
61,3076,0,0
62,1012,0,0
63,6518,0,0
64,4137,0,2
65,8082,1,1
66,1386,1,1
67,9369,0,2
68,4477,0,2
69,1357,0,0
70,1402,0,2
71,10629,1,1
72,6312,0,0
73,8132,0,0
74,1050,1,1
75,5846,1,1
76,1859,0,2
77,7503,0,2
78,10401,1,1
79,1618,0,0
80,3332,1,1
81,2261,1,1
82,5346,1,1
83,4119,0,2
84,535,0,2
85,5268,1,1
86,273,1,0
87,4452,1,0
88,8504,0,2
89,771,0,2
90,8996,1,0
91,9235,1,1
92,5798,0,2
93,11178,1,1
94,2230,1,1
95,7516,1,1
96,7247,0,0
97,11100,1,0
98,4646,0,2
99,3037,0,0
100,1473,1,0
101,1016,1,1
102,4518,0,0
103,9370,0,2
104,8908,0,2
105,8373,1,1
106,7533,1,0
107,2683,0,0
108,3629,1,1
109,10991,0,2
110,5077,0,2
111,7431,0,0
112,3267,0,0
113,999,0,2
114,9215,0,0
115,2286,1,0
116,1592,0,2
117,367,1,0
118,5234,1,1
119,9862,1,1
120,9805,0,0
121,6205,1,1
122,8442,1,1
123,7386,1,1
124,7215,0,2
125,1491,0,2
126,11071,0,2
127,3381,1,1
128,8268,0,0
129,11051,0,0
130,8026,0,0
131,433,1,0
132,9597,0,2
133,1295,0,2
134,5290,1,0
135,1685,0,2
136,5342,1,1
137,9579,1,0
138,7660,1,1
139,1461,1,1
140,821,0,2
141,11084,0,0
142,8690,0,2
143,2937,0,0
144,9701,1,1
145,9949,0,0
146,10837,1,1
147,3120,1,1
148,5885,1,0
149,4050,1,1
150,3830,0,0
151,7987,0,0
152,7798,1,0
153,92,1,1
154,7055,0,0
155,10240,0,0
156,3025,1,0
157,9283,1,1
158,9970,0,2
159,2730,0,2
160,2795,1,1
161,9260,0,0
162,8182,1,1
163,10095,0,2
164,8475,0,2
165,4370,1,1
166,10573,0,2
167,3712,0,0
168,6637,0,2
169,3152,1,1
170,5610,1,1
171,6460,1,1
172,1349,1,1
173,1880,1,0
174,641,1,1
175,8717,0,0
176,10314,0,2
177,10854,1,1
178,10492,1,1
179,6935,0,2
180,7698,1,0
181,3559,1,1
182,10562,0,2
183,10796,1,1
184,2563,1,1
185,3518,1,1
186,5823,1,1
187,3934,0,0
188,6982,0,2
189,6431,1,1
190,9733,1,1
191,5602,0,2
192,1324,1,1
193,326,1,0
194,7224,1,1
195,6999,0,2
196,9938,0,2
197,6422,0,2
198,3182,1,0
199,7300,0,0
200,10424,0,2
201,8727,0,0
202,2798,0,2
203,1030,1,1
204,624,1,1
205,5176,1,1
206,5552,1,0
207,868,1,1
208,380,0,0
209,2677,1,0
210,6521,0,2
211,6927,1,0
212,2877,1,0
213,0,0,2
214,1584,1,0
215,7264,1,1
216,6274,0,2
217,1377,1,0
218,454,0,0
219,1755,1,1
220,2075,0,2
221,4785,0,0
222,9076,1,0
223,7079,0,0
224,4653,1,0
225,7375,1,0
226,709,0,0
227,460,0,2
228,3726,1,1
229,6798,1,0
230,5341,0,0
231,1606,1,1
232,9617,1,1
233,3233,0,2
234,89,1,1
235,2936,1,1
236,9449,0,0
237,7297,1,1
238,313,0,2
239,9940,0,0
240,10735,1,1
241,9529,0,2
242,6439,0,0
243,7411,1,1
244,2176,0,0
245,9265,0,0
246,8867,0,2
247,8932,0,0
248,10236,1,1
249,6340,1,1
250,10089,0,2
251,2227,1,1
252,10992,0,0
253,5304,1,1
254,309,0,0
255,3406,0,0
256,2661,1,1
257,3153,1,1
258,10264,1,1
259,1184,0,0
260,4200,1,0
261,9396,1,1
262,2387,1,0
263,6690,1,0
264,1225,0,2
265,9703,1,0
266,291,0,2
267,4557,1,1
268,2379,0,2
269,5726,1,1
270,3066,0,0
271,6336,1,1
272,10967,1,1
273,2304,0,0
274,3445,0,2
275,7828,0,2
276,3762,0,2
277,4391,0,0
278,4669,1,1
279,10144,1,0
280,8652,1,0
281,1672,0,2
282,8962,1,1
283,9974,1,1
284,10983,0,2
285,8148,0,0
286,10102,0,2
287,4697,1,0
288,9262,1,1
289,7254,1,1
290,4543,0,2
291,4927,1,1
292,10451,1,1
293,2926,0,0
294,2874,1,1
295,9738,1,1
296,7119,0,2
297,3924,0,0
298,5827,1,0
299,5596,0,0
300,10812,1,1
301,1717,1,1
302,9491,1,1
303,9274,0,2
304,6609,1,1
305,6963,0,2
306,4440,0,0
307,1379,0,0
308,10032,1,1
309,2826,1,1
310,2437,0,2
311,6320,0,2
312,3050,1,0
313,231,1,1
314,2392,1,1
315,9478,0,2
316,113,1,1
317,2863,0,0
318,1802,0,0
319,520,1,1
320,8275,1,1
321,9750,0,0
322,2607,0,0
323,7214,0,2
324,5835,1,1
325,3896,1,1
326,10350,1,1
327,7786,1,1
328,2861,1,1
329,663,1,1
330,10675,0,0
331,2521,1,1
332,9592,1,1
333,10151,0,2
334,7381,0,0
335,4099,1,1
336,9560,0,2
337,10172,0,2
338,11191,1,1
339,9707,0,0
340,6245,0,0
341,8234,1,1
342,1411,0,2
343,8553,1,1
344,1826,0,2
345,8842,1,1
346,11030,1,1
347,2579,0,0
348,175,0,0
349,9185,0,2
350,11056,0,2
351,9365,0,0
352,6201,1,1
353,2061,1,0
354,6184,0,2
355,6142,0,2
356,4107,0,0
357,7274,0,2
358,9336,0,0
359,2958,1,1
360,933,1,1
361,5837,1,0
362,10704,0,0
363,5125,0,2
364,4432,1,1
365,5955,0,2
366,2928,0,0
367,5680,1,1
368,10313,1,0
369,2557,1,1
370,1245,0,0
371,1519,1,1
372,10703,1,0
373,1726,1,1
374,4459,1,1
375,1729,0,0
376,1517,1,1
377,2098,1,1
378,9543,1,1
379,6878,1,1
380,3310,1,0
381,2724,1,1
382,948,1,1
383,6720,0,0
384,6202,0,0
385,2066,1,0
386,9799,0,0
387,8318,0,2
388,5642,0,0
389,2669,0,2
390,455,0,0
391,7683,0,0
392,3428,0,2
393,7414,1,0
394,6354,1,1
395,798,1,1
396,8213,1,1
397,2488,1,1
398,9999,0,0
399,7617,1,1
400,615,1,1
401,2552,1,0
402,194,1,1
403,3645,1,1
404,8890,1,0
405,5049,1,1
406,9973,1,0
407,7301,1,1
408,10882,0,0
409,7030,0,0
410,7422,1,0
411,3523,0,2
412,7106,0,2
413,6504,1,1
414,5067,0,2
415,4216,0,2
416,8581,1,0
417,5929,1,1
418,3129,1,1
419,6528,1,1
420,1361,0,2
421,6932,0,2
422,7284,1,1
423,1340,0,2
424,8746,0,2
425,5987,1,1
426,3767,0,2
427,3725,0,2
428,4324,1,0
429,238,0,0
430,6694,0,2
431,498,1,1
432,9347,1,1
433,9699,0,0
434,10664,1,0
435,5455,1,0
436,456,1,1
437,5012,1,1
438,7495,0,0
439,5029,1,1
440,10642,1,1
441,2106,1,1
442,10364,1,1
443,5954,1,1
444,1137,0,2
445,2541,1,1
446,1142,0,0
447,2276,0,2
448,2807,0,0
449,6471,1,1
450,6131,0,0
