row,partition
0,fit
1,fit
3,fit
4,fit
5,fit
6,fit
9,fit
10,fit
11,fit
12,fit
13,fit
15,fit
16,fit
17,fit
18,fit
19,fit
20,fit
21,fit
22,fit
24,fit
25,fit
26,fit
27,fit
29,fit
31,fit
32,fit
37,fit
38,fit
39,fit
40,fit
41,fit
42,fit
44,fit
45,fit
46,fit
47,fit
48,fit
49,fit
51,fit
52,fit
53,fit
54,fit
55,fit
56,fit
58,fit
59,fit
60,fit
62,fit
63,fit
64,fit
66,fit
67,fit
69,fit
71,fit
72,fit
76,fit
77,fit
78,fit
80,fit
81,fit
82,fit
83,fit
84,fit
85,fit
87,fit
88,fit
89,fit
90,fit
91,fit
92,fit
93,fit
94,fit
95,fit
96,fit
97,fit
98,fit
99,fit
100,fit
101,fit
102,fit
104,fit
105,fit
106,fit
107,fit
108,fit
109,fit
112,fit
113,fit
114,fit
115,fit
117,fit
118,fit
119,fit
120,fit
122,fit
124,fit
125,fit
128,fit
129,fit
130,fit
131,fit
132,fit
134,fit
135,fit
136,fit
137,fit
138,fit
139,fit
141,fit
143,fit
144,fit
145,fit
146,fit
147,fit
148,fit
149,fit
150,fit
151,fit
152,fit
153,fit
154,fit
155,fit
156,fit
158,fit
159,fit
160,fit
161,fit
163,fit
164,fit
166,fit
168,fit
172,fit
173,fit
175,fit
176,fit
177,fit
179,fit
180,fit
181,fit
182,fit
183,fit
184,fit
185,fit
186,fit
187,fit
188,fit
189,fit
190,fit
191,fit
192,fit
194,fit
195,fit
196,fit
197,fit
199,fit
204,fit
205,fit
206,fit
207,fit
208,fit
209,fit
211,fit
212,fit
213,fit
215,fit
216,fit
217,fit
218,fit
219,fit
221,fit
222,fit
223,fit
224,fit
225,fit
227,fit
228,fit
231,fit
232,fit
233,fit
234,fit
235,fit
237,fit
238,fit
239,fit
240,fit
241,fit
242,fit
244,fit
245,fit
246,fit
247,fit
249,fit
250,fit
252,fit
253,fit
254,fit
255,fit
257,fit
258,fit
259,fit
260,fit
261,fit
263,fit
264,fit
265,fit
266,fit
267,fit
268,fit
269,fit
270,fit
271,fit
272,fit
273,fit
275,fit
276,fit
277,fit
278,fit
279,fit
280,fit
284,fit
285,fit
287,fit
288,fit
289,fit
290,fit
291,fit
293,fit
294,fit
295,fit
297,fit
298,fit
299,fit
300,fit
301,fit
303,fit
305,fit
307,fit
309,fit
310,fit
311,fit
312,fit
313,fit
314,fit
315,fit
316,fit
317,fit
318,fit
320,fit
321,fit
324,fit
325,fit
326,fit
329,fit
331,fit
332,fit
333,fit
334,fit
335,fit
336,fit
337,fit
338,fit
339,fit
340,fit
342,fit
343,fit
344,fit
345,fit
346,fit
347,fit
348,fit
349,fit
350,fit
352,fit
353,fit
355,fit
356,fit
357,fit
358,fit
359,fit
360,fit
362,fit
363,fit
365,fit
367,fit
370,fit
371,fit
372,fit
373,fit
374,fit
376,fit
377,fit
378,fit
379,fit
380,fit
381,fit
382,fit
383,fit
384,fit
385,fit
386,fit
387,fit
388,fit
389,fit
390,fit
391,fit
392,fit
394,fit
395,fit
396,fit
397,fit
398,fit
399,fit
400,fit
403,fit
406,fit
408,fit
409,fit
410,fit
411,fit
412,fit
413,fit
414,fit
415,fit
416,fit
417,fit
418,fit
419,fit
420,fit
422,fit
423,fit
424,fit
425,fit
426,fit
427,fit
431,fit
432,fit
433,fit
434,fit
435,fit
436,fit
440,fit
441,fit
444,fit
445,fit
447,fit
448,fit
449,fit
450,fit
452,fit
453,fit
455,fit
456,fit
457,fit
458,fit
459,fit
460,fit
461,fit
462,fit
463,fit
464,fit
466,fit
467,fit
468,fit
469,fit
470,fit
471,fit
472,fit
473,fit
474,fit
475,fit
476,fit
477,fit
478,fit
479,fit
480,fit
481,fit
482,fit
483,fit
484,fit
485,fit
486,fit
487,fit
488,fit
489,fit
490,fit
491,fit
493,fit
494,fit
495,fit
496,fit
497,fit
498,fit
499,fit
500,fit
501,fit
502,fit
503,fit
504,fit
505,fit
506,fit
507,fit
508,fit
510,fit
511,fit
512,fit
513,fit
514,fit
515,fit
516,fit
517,fit
518,fit
519,fit
520,fit
522,fit
524,fit
525,fit
526,fit
527,fit
528,fit
529,fit
530,fit
531,fit
534,fit
535,fit
537,fit
538,fit
540,fit
541,fit
542,fit
543,fit
544,fit
545,fit
546,fit
547,fit
548,fit
549,fit
550,fit
551,fit
554,fit
555,fit
556,fit
557,fit
558,fit
559,fit
560,fit
561,fit
562,fit
564,fit
566,fit
567,fit
568,fit
569,fit
570,fit
571,fit
572,fit
573,fit
574,fit
575,fit
577,fit
578,fit
579,fit
580,fit
581,fit
582,fit
583,fit
586,fit
587,fit
589,fit
591,fit
592,fit
593,fit
594,fit
595,fit
596,fit
597,fit
598,fit
599,fit
600,fit
601,fit
602,fit
603,fit
604,fit
605,fit
606,fit
607,fit
608,fit
610,fit
611,fit
612,fit
613,fit
615,fit
616,fit
618,fit
619,fit
621,fit
622,fit
623,fit
626,fit
627,fit
628,fit
629,fit
631,fit
633,fit
635,fit
637,fit
638,fit
639,fit
640,fit
641,fit
642,fit
643,fit
644,fit
645,fit
646,fit
647,fit
648,fit
649,fit
650,fit
651,fit
652,fit
653,fit
656,fit
657,fit
658,fit
659,fit
660,fit
661,fit
662,fit
665,fit
667,fit
668,fit
669,fit
670,fit
673,fit
674,fit
675,fit
676,fit
677,fit
678,fit
679,fit
680,fit
681,fit
682,fit
684,fit
685,fit
687,fit
688,fit
689,fit
690,fit
691,fit
692,fit
693,fit
694,fit
695,fit
696,fit
697,fit
698,fit
699,fit
701,fit
702,fit
703,fit
705,fit
706,fit
708,fit
710,fit
711,fit
712,fit
714,fit
716,fit
720,fit
721,fit
722,fit
723,fit
724,fit
725,fit
726,fit
727,fit
728,fit
729,fit
730,fit
731,fit
732,fit
733,fit
735,fit
736,fit
737,fit
738,fit
739,fit
740,fit
741,fit
742,fit
743,fit
744,fit
745,fit
746,fit
747,fit
748,fit
749,fit
751,fit
752,fit
753,fit
754,fit
755,fit
757,fit
758,fit
759,fit
761,fit
762,fit
763,fit
764,fit
765,fit
766,fit
767,fit
769,fit
771,fit
772,fit
773,fit
774,fit
775,fit
776,fit
777,fit
778,fit
779,fit
781,fit
782,fit
783,fit
784,fit
785,fit
786,fit
788,fit
789,fit
790,fit
791,fit
792,fit
794,fit
795,fit
797,fit
801,fit
802,fit
803,fit
804,fit
805,fit
806,fit
807,fit
808,fit
809,fit
810,fit
811,fit
812,fit
813,fit
816,fit
818,fit
820,fit
821,fit
823,fit
824,fit
825,fit
826,fit
827,fit
828,fit
829,fit
830,fit
834,fit
835,fit
836,fit
837,fit
839,fit
840,fit
842,fit
843,fit
844,fit
845,fit
846,fit
847,fit
849,fit
850,fit
851,fit
852,fit
854,fit
855,fit
856,fit
857,fit
858,fit
859,fit
860,fit
861,fit
