feature,passed_variance_filter,anova_F,anova_p_value,anova_rank,selected_for_model,selection_percentile
Prev_Accepted,True,415.0657807518408,3.6725095434576385e-83,1.0,True,100.0
AcceptedCmp5,True,232.51825049973564,1.855001988274512e-49,2.0,True,100.0
AcceptedCmp1,True,160.7680607141002,2.409063489647618e-35,3.0,True,100.0
Total_Spend,True,135.00847256098848,3.835959646097898e-30,4.0,True,100.0
AcceptedCmp3,True,131.65464045266634,1.8481925929653992e-29,5.0,True,100.0
Spend_Per_Recorded_Purchase,True,128.6707171514502,7.506049073365651e-29,6.0,True,100.0
MntWines,True,119.86603226670131,4.759514403331343e-27,7.0,True,100.0
Spend_to_Income_Proxy,True,117.99515046039812,1.152648531877379e-26,8.0,True,100.0
NumCatalogPurchases,True,104.27073748774515,7.812896277668205e-24,9.0,True,100.0
MntMeatProducts,True,96.51652086335257,3.18355750445595e-22,10.0,True,100.0
Household_Size_Proxy,True,90.88836141829944,4.747774509973113e-21,11.0,True,100.0
Has_Children_At_Home,True,71.09521517638397,6.89584265548229e-17,12.0,True,100.0
AcceptedCmp4,True,70.68298029924819,8.43101555570856e-17,13.0,True,100.0
Recency,True,69.96564815873633,1.1963004655145918e-16,14.0,True,100.0
Tenure_Days,True,58.959594091131905,2.6280984588055802e-14,15.0,True,100.0
Children_At_Home,True,54.85648098633851,1.9855782033758219e-13,16.0,True,100.0
Income,True,53.849947074238294,3.2642962328597044e-13,17.0,True,100.0
AcceptedCmp2,True,52.151353180404655,7.560735770273476e-13,18.0,True,100.0
Total_Purchases,True,51.43764268400807,1.076454564021458e-12,19.0,True,100.0
NumWebPurchases,True,40.62451576760676,2.339965074645526e-10,20.0,True,100.0
MntGoldProds,True,39.09480461887277,5.03428790871565e-10,21.0,True,100.0
Has_Partner,True,37.134318598249735,1.3465088356936147e-09,22.0,True,100.0
MntFruits,True,28.18276337020137,1.2411970636951838e-07,23.0,True,100.0
MntSweetProducts,True,28.036956626369655,1.336761280424863e-07,24.0,True,100.0
MntFishProducts,True,21.943421102971566,3.0194543802635155e-06,25.0,True,100.0
Deal_Share_Proxy,True,15.04784581296011,0.00010860622926621162,26.0,True,100.0
Education_PhD,True,13.074439838518416,0.000307627508864679,27.0,True,100.0
Meat_Share,True,11.77789554542604,0.0006129903823445919,28.0,True,100.0
Education_Basic,True,5.204937877642335,0.022639591784411238,29.0,True,100.0
Web_Share,True,3.2613275918890627,0.07109931815670711,30.0,True,100.0
Education_2n_Cycle,True,2.9196325322190946,0.08768085622286963,31.0,True,100.0
Marital_Unknown,True,2.064987401611718,0.1508906462171696,32.0,True,100.0
NumStorePurchases,True,1.9216504085860917,0.1658471898053752,33.0,True,100.0
Income_missing,True,1.4433709759348734,0.22975328917669485,34.0,True,100.0
No_Recorded_Purchases,True,0.8410983512367538,0.3592061698699698,35.0,True,100.0
Age,True,0.5766614219876661,0.44772374308901075,36.0,True,100.0
Education_Graduation,True,0.5478922260296515,0.4592771202337853,37.0,True,100.0
Education_Master,True,0.4797505249380671,0.4886250364808705,38.0,True,100.0
NumDealsPurchases,True,0.36069454651461735,0.5481966590496411,39.0,True,100.0
NumWebVisitsMonth,True,0.32373547789726936,0.5694426221630781,40.0,True,100.0
Complain,True,0.07762149444765797,0.7805790712144851,41.0,True,100.0
Wine_Share,True,0.0377684660255931,0.8459308158161736,42.0,True,100.0
Education_Unknown,False,,,,False,100.0
