feature,mean_abs_SHAP,output_scale,explained_rows
Recency,0.07408955797157593,model score (calibration unverified),40
Tenure_Days,0.03798112436441953,model score (calibration unverified),40
Wine_Share,0.03795804731219708,model score (calibration unverified),40
Has_Partner,0.03667632500163985,model score (calibration unverified),40
NumCatalogPurchases,0.035863559034390355,model score (calibration unverified),40
NumStorePurchases,0.03457701423056343,model score (calibration unverified),40
Prev_Accepted,0.03456030033284179,model score (calibration unverified),40
AcceptedCmp3,0.029571503394404813,model score (calibration unverified),40
Education_PhD,0.0288301623221289,model score (calibration unverified),40
NumWebVisitsMonth,0.0280136699669292,model score (calibration unverified),40
AcceptedCmp5,0.024208240848791564,model score (calibration unverified),40
Deal_Share_Proxy,0.022753340669353448,model score (calibration unverified),40
Household_Size_Proxy,0.02216341371459456,model score (calibration unverified),40
Has_Children_At_Home,0.0204648739456239,model score (calibration unverified),40
Spend_Per_Recorded_Purchase,0.019747002409135288,model score (calibration unverified),40
Meat_Share,0.019707450008124936,model score (calibration unverified),40
Web_Share,0.018880321827022623,model score (calibration unverified),40
Education_Basic,0.018836987821754227,model score (calibration unverified),40
Income,0.018055269615795073,model score (calibration unverified),40
MntFishProducts,0.01617830366118237,model score (calibration unverified),40
MntSweetProducts,0.016050379879139192,model score (calibration unverified),40
Education_Graduation,0.013779967391454543,model score (calibration unverified),40
MntMeatProducts,0.013209084135574664,model score (calibration unverified),40
AcceptedCmp4,0.011255674746958414,model score (calibration unverified),40
MntFruits,0.010838568155628623,model score (calibration unverified),40
AcceptedCmp2,0.009707802067294175,model score (calibration unverified),40
AcceptedCmp1,0.009060845761068307,model score (calibration unverified),40
MntGoldProds,0.008963619283949207,model score (calibration unverified),40
Children_At_Home,0.008348242666313585,model score (calibration unverified),40
NumDealsPurchases,0.007241894572179342,model score (calibration unverified),40
Education_2n_Cycle,0.007126382810086519,model score (calibration unverified),40
MntWines,0.006979043215223961,model score (calibration unverified),40
Total_Spend,0.006934170748162299,model score (calibration unverified),40
NumWebPurchases,0.0068134845218811285,model score (calibration unverified),40
Total_Purchases,0.006605671640872215,model score (calibration unverified),40
Education_Master,0.006256901446802431,model score (calibration unverified),40
Age,0.005612800153325823,model score (calibration unverified),40
Spend_to_Income_Proxy,0.00527331609039995,model score (calibration unverified),40
Complain,0.0,model score (calibration unverified),40
Income_missing,0.0,model score (calibration unverified),40
No_Recorded_Purchases,0.0,model score (calibration unverified),40
Marital_Unknown,0.0,model score (calibration unverified),40
