fold,model,chosen_by_inner_cv,n,tp,fp,tn,fn,selected_n,positive_n,accuracy,precision,recall,f1,specificity,false_positive_rate,roc_auc,average_precision,contact_fraction,response_prevalence,assumed_value_per_response,assumed_cost_per_contact,observed_label_profit_proxy,assumed_contact_spend,observed_label_roi_proxy,profit_caveat,inner_cv_auc
1,Logistic Regression,True,444,44,28,353,19,72,63,0.8941441441441441,0.6111111111111112,0.6984126984126984,0.6518518518518519,0.926509186351706,0.07349081364829396,0.9104903553722451,0.6571880168106695,0.16216216216216217,0.14189189189189189,11.0,3.0,268.0,216.0,1.2407407407407407,Hypothetical units and historical response labels; not measured causal uplift or realised ROI.,0.8977772366926059
1,Random Forest,False,444,46,53,328,17,99,63,0.8423423423423423,0.46464646464646464,0.7301587301587301,0.5679012345679012,0.8608923884514436,0.13910761154855644,0.9107403241261509,0.6287060996306123,0.22297297297297297,0.14189189189189189,11.0,3.0,209.0,297.0,0.7037037037037037,Hypothetical units and historical response labels; not measured causal uplift or realised ROI.,0.8742912529799834
1,XGBoost,False,444,23,12,369,40,35,63,0.8828828828828829,0.6571428571428571,0.36507936507936506,0.46938775510204084,0.968503937007874,0.031496062992125984,0.9353622463858684,0.6819931369798056,0.07882882882882883,0.14189189189189189,11.0,3.0,148.0,105.0,1.4095238095238096,Hypothetical units and historical response labels; not measured causal uplift or realised ROI.,0.8900075898630159
1,SVM RBF,False,444,39,37,344,24,76,63,0.8626126126126126,0.5131578947368421,0.6190476190476191,0.5611510791366906,0.9028871391076115,0.09711286089238845,0.9238428529767112,0.6392337215368604,0.17117117117117117,0.14189189189189189,11.0,3.0,201.0,228.0,0.881578947368421,Hypothetical units and historical response labels; not measured causal uplift or realised ROI.,0.8906441374032302
2,Logistic Regression,True,457,51,48,329,29,99,80,0.8315098468271335,0.5151515151515151,0.6375,0.5698324022346368,0.8726790450928382,0.1273209549071618,0.9044263925729443,0.691449305416339,0.21663019693654267,0.175054704595186,11.0,3.0,264.0,297.0,0.8888888888888888,Hypothetical units and historical response labels; not measured causal uplift or realised ROI.,0.9053266593293948
2,Random Forest,False,457,56,44,333,24,100,80,0.8512035010940919,0.56,0.7,0.6222222222222222,0.883289124668435,0.11671087533156499,0.9160311671087533,0.7503868735464904,0.2188183807439825,0.175054704595186,11.0,3.0,316.0,300.0,1.0533333333333332,Hypothetical units and historical response labels; not measured causal uplift or realised ROI.,0.8836050784513834
2,XGBoost,False,457,55,54,323,25,109,80,0.8271334792122538,0.5045871559633027,0.6875,0.582010582010582,0.8567639257294429,0.14323607427055704,0.902801724137931,0.7487751313919377,0.23851203501094093,0.175054704595186,11.0,3.0,278.0,327.0,0.8501529051987767,Hypothetical units and historical response labels; not measured causal uplift or realised ROI.,0.9028782777072123
2,SVM RBF,False,457,47,38,339,33,85,80,0.8446389496717724,0.5529411764705883,0.5875,0.5696969696969697,0.8992042440318302,0.10079575596816977,0.91006299734748,0.7188799595866335,0.18599562363238512,0.175054704595186,11.0,3.0,262.0,255.0,1.0274509803921568,Hypothetical units and historical response labels; not measured causal uplift or realised ROI.,0.9002090401596251
3,Logistic Regression,False,450,35,18,369,28,53,63,0.8977777777777778,0.660377358490566,0.5555555555555556,0.603448275862069,0.9534883720930233,0.046511627906976744,0.8973585989089865,0.7310884115748324,0.11777777777777777,0.14,11.0,3.0,226.0,159.0,1.421383647798742,Hypothetical units and historical response labels; not measured causal uplift or realised ROI.,0.8860109964127983
3,Random Forest,False,450,27,24,363,36,51,63,0.8666666666666667,0.5294117647058824,0.42857142857142855,0.47368421052631576,0.937984496124031,0.06201550387596899,0.9022394487510766,0.6516339552579631,0.11333333333333333,0.14,11.0,3.0,144.0,153.0,0.9411764705882353,Hypothetical units and historical response labels; not measured causal uplift or realised ROI.,0.8691312172654527
3,XGBoost,False,450,36,27,360,27,63,63,0.88,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.9302325581395349,0.06976744186046512,0.9191378532463803,0.7317288840951687,0.14,0.14,11.0,3.0,207.0,189.0,1.0952380952380953,Hypothetical units and historical response labels; not measured causal uplift or realised ROI.,0.8913425384889538
3,SVM RBF,True,450,28,10,377,35,38,63,0.9,0.7368421052631579,0.4444444444444444,0.5544554455445545,0.9741602067183462,0.025839793281653745,0.8990402362495384,0.7266905063148918,0.08444444444444445,0.14,11.0,3.0,194.0,114.0,1.7017543859649122,Hypothetical units and historical response labels; not measured causal uplift or realised ROI.,0.8921467422828563
4,Logistic Regression,False,438,30,31,338,39,61,69,0.8401826484018264,0.4918032786885246,0.43478260869565216,0.46153846153846156,0.9159891598915989,0.08401084010840108,0.8700954400848356,0.6386376772485818,0.13926940639269406,0.15753424657534246,11.0,3.0,147.0,183.0,0.8032786885245902,Hypothetical units and historical response labels; not measured causal uplift or realised ROI.,0.8974979851241539
4,Random Forest,False,438,46,64,305,23,110,69,0.8013698630136986,0.41818181818181815,0.6666666666666666,0.5139664804469274,0.8265582655826558,0.17344173441734417,0.8364753937394447,0.5189344174406985,0.2511415525114155,0.15753424657534246,11.0,3.0,176.0,330.0,0.5333333333333333,Hypothetical units and historical response labels; not measured causal uplift or realised ROI.,0.8758519301017538
4,XGBoost,True,438,40,45,324,29,85,69,0.8310502283105022,0.47058823529411764,0.5797101449275363,0.5194805194805194,0.8780487804878049,0.12195121951219512,0.8761831821216763,0.595261781029088,0.19406392694063926,0.15753424657534246,11.0,3.0,185.0,255.0,0.7254901960784313,Hypothetical units and historical response labels; not measured causal uplift or realised ROI.,0.9003742245164421
4,SVM RBF,False,438,33,34,335,36,67,69,0.8401826484018264,0.4925373134328358,0.4782608695652174,0.4852941176470588,0.907859078590786,0.0921409214092141,0.8666391736381132,0.5318941845236953,0.15296803652968036,0.15753424657534246,11.0,3.0,162.0,201.0,0.8059701492537313,Hypothetical units and historical response labels; not measured causal uplift or realised ROI.,0.8865605191734504
5,Logistic Regression,False,447,25,41,347,34,66,59,0.8322147651006712,0.3787878787878788,0.423728813559322,0.4,0.8943298969072165,0.1056701030927835,0.8754149921369911,0.5455744562502132,0.1476510067114094,0.1319910514541387,11.0,3.0,77.0,198.0,0.3888888888888889,Hypothetical units and historical response labels; not measured causal uplift or realised ROI.,0.8999927869538951
5,Random Forest,False,447,21,34,354,38,55,59,0.8389261744966443,0.38181818181818183,0.3559322033898305,0.3684210526315789,0.9123711340206185,0.08762886597938144,0.8430456054516862,0.39133567456369023,0.12304250559284116,0.1319910514541387,11.0,3.0,66.0,165.0,0.4,Hypothetical units and historical response labels; not measured causal uplift or realised ROI.,0.8797436775881384
5,XGBoost,True,447,28,43,345,31,71,59,0.8344519015659956,0.39436619718309857,0.4745762711864407,0.4307692307692308,0.8891752577319587,0.11082474226804123,0.8693866853049101,0.5228412060121876,0.15883668903803133,0.1319910514541387,11.0,3.0,95.0,213.0,0.4460093896713615,Hypothetical units and historical response labels; not measured causal uplift or realised ROI.,0.9060826141213839
5,SVM RBF,False,447,42,47,341,17,89,59,0.8568232662192393,0.47191011235955055,0.711864406779661,0.5675675675675675,0.8788659793814433,0.1211340206185567,0.8891752577319587,0.5004267425559046,0.19910514541387025,0.1319910514541387,11.0,3.0,195.0,267.0,0.7303370786516854,Hypothetical units and historical response labels; not measured causal uplift or realised ROI.,0.8961818980050665
