Feature,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13
Income,0.4128354792331152,0.15307072196315832,-0.12688916526927188,-0.0048409922645812065,-0.12990107693433128,0.05804776247428289,-0.014759912919058213,0.46061878917868687,-0.20037567241977786,0.06273513838934144,0.3695567501590759,0.605529585142439,-0.10028056365565406
Age_2014,0.10579623142444677,0.24378467114137148,-0.3639504444539188,0.20877660912556037,0.04547918960432066,-0.3304681006276057,0.7670630780610009,-0.21682817226331233,0.032061899129645736,-0.060475960312429265,0.043288270430679884,0.00803738447919161,0.005202663558364017
Recency,0.014380875307165794,-0.008689712920025836,0.05222729584912664,0.8831329034494018,0.1465441297348861,0.4390069442511292,-0.041266538974057757,-0.014045818008887741,0.004850110073652995,-0.027907290301138882,0.008542537537399452,0.007854073660844112,-0.005174029846650609
Tenure_Days,0.011030517067000183,0.15519277879729396,0.5462306062390757,0.018829244699025326,0.6299251981247693,-0.2776504109311251,0.16116407837943528,0.3351164574781106,-0.16435083488825583,0.036880714883648975,-0.18636485369631542,0.029046382034839054,-0.03085080610750761
Total_Spend,0.4461380617752046,0.2066689174846539,0.19001074906506604,-0.05133962883462082,-0.051175254133859836,0.08907001125898356,-0.016134474085612645,-0.059807641718958075,-0.02256331452604986,-0.08963422946665808,0.15639040167406776,-0.2560664749046951,0.7788118526116062
Total_Purchases,0.41873660570959803,0.25343184650085615,0.19688368939823214,-0.05444978719736822,-0.11196306403429189,0.09887593383675236,-0.014859956974987003,-0.08026950921822532,-0.07868338314019001,-0.17431296000885937,0.18180723860921805,-0.5010655223128937,-0.6074793698873773
Children_At_Home,-0.29033499118325834,0.30000620594921706,-0.1470527511028899,0.2393831729421631,-0.2647480913748293,-0.3332186343018879,-0.19149479723878957,0.288515551974078,-0.34999958239366524,0.4170196316231582,0.10254472886164306,-0.3650538599846261,0.07450194639663843
NumDealsPurchases,-0.10620726485162041,0.442765053320575,0.25655732568739825,0.17260335415466724,-0.29467973552098814,-0.3326794272916177,-0.28685493406426854,-0.29538733302771786,0.013390580093120025,-0.4091666763646825,-0.18303120779486273,0.3589180434513885,-0.009752231387877364
NumWebVisitsMonth,-0.3759771204629351,0.2536818546478596,0.2310654781000814,-0.051839300533397976,0.0953986526856958,0.054360979091419105,0.053336352835658185,-0.03271878505724155,0.5148260708202991,0.11661983335043218,0.6651789872538554,0.03271747342019862,-0.007567164061838159
Wine_Spend_Share,0.09225358493945386,0.46443698454113,-0.37262500714655145,-0.06861981464941161,0.1502309643399238,0.13578931721665374,-0.1701811445893168,0.3486939553543206,0.5220866891735311,-0.02037259116463909,-0.3988016135897563,-0.09245006247552795,-0.009644491441849425
Meat_Spend_Share,0.1194417960042525,-0.3500885556915291,0.3166077734205604,0.19317313332175004,-0.49297069374999164,-0.24150870502370897,0.21965702155870218,0.40396466896863625,0.4340352965259853,-0.027240316503643325,-0.1281886365349572,-0.08524541034074952,-0.002078106205351225
Web_Purchase_Share,-0.16688044257895807,0.3113135746077868,0.29660564171462916,-0.17566481666507502,-0.33393716479632135,0.5022959079457684,0.38475846838570665,-0.04381648515545637,-0.14118768444638724,0.3315369357380502,-0.3110873617742475,0.1262629828944379,-0.007692827732240928
Catalog_Purchase_Share,0.39510339594738214,-0.02143328297508716,0.08702966853354052,0.0885657337991354,0.06700524655354229,-0.21485525058113264,-0.1902308257971387,-0.4000439598187435,0.23762726210684001,0.6970307803278653,-0.10250824818181854,0.14427125634658994,-0.08660074520707278
