Component,Explained_Variance_Ratio,Cumulative_Explained_Variance
1,0.30582179773593043,0.30582179773593043
2,0.1795126802605539,0.4853344779964843
3,0.10523474645636154,0.5905692244528459
4,0.07914208137295664,0.6697113058258025
5,0.06981578760349504,0.7395270934292976
6,0.06849278527877166,0.8080198787080692
7,0.060311748463225255,0.8683316271712945
8,0.04626877584682599,0.9146004030181205
9,0.027900531260824236,0.9425009342789448
10,0.02595021832870494,0.9684511526076497
11,0.016927628795109412,0.9853787814027591
12,0.011156473412339602,0.9965352548150987
13,0.0034647451849014813,1.0000000000000002
