fold,row,group,partition
1,1,1993,fit
1,4,953,fit
1,5,1799,fit
1,11,250,fit
1,16,1809,fit
1,17,485,fit
1,25,832,fit
1,26,1967,fit
1,27,435,fit
1,28,377,fit
1,29,701,fit
1,30,1533,fit
1,32,737,fit
1,33,1919,fit
1,34,1199,fit
1,37,1301,fit
1,38,754,fit
1,39,546,fit
1,40,708,fit
1,42,515,fit
1,48,1580,fit
1,49,211,fit
1,50,213,fit
1,51,277,fit
1,52,1720,fit
1,53,88,fit
1,54,254,fit
1,55,1504,fit
1,56,142,fit
1,57,267,fit
1,58,61,fit
1,60,1841,fit
1,61,454,fit
1,63,303,fit
1,65,963,fit
1,66,696,fit
1,67,1804,fit
1,68,1712,fit
1,69,753,fit
1,71,1180,fit
1,72,152,fit
1,75,723,fit
1,77,1647,fit
1,78,1114,fit
1,79,692,fit
1,80,912,fit
1,82,79,fit
1,84,1940,fit
1,85,1402,fit
1,86,506,fit
1,87,1056,fit
1,88,2010,fit
1,89,779,fit
1,91,1163,fit
1,92,232,fit
1,93,767,fit
1,94,324,fit
1,96,1288,fit
1,97,1476,fit
1,99,1477,fit
1,100,746,fit
1,101,113,fit
1,102,1509,fit
1,103,1286,fit
1,104,1620,fit
1,107,797,fit
1,108,234,fit
1,109,130,fit
1,110,1717,fit
1,111,1016,fit
1,112,876,fit
1,113,1729,fit
1,114,615,fit
1,116,556,fit
1,119,581,fit
1,120,418,fit
1,123,1576,fit
1,124,1263,fit
1,125,1376,fit
1,126,371,fit
1,128,40,fit
1,130,257,fit
1,132,194,fit
1,136,348,fit
1,137,1666,fit
1,139,1063,fit
1,141,343,fit
1,142,192,fit
1,143,690,fit
1,144,1388,fit
1,147,1639,fit
1,148,369,fit
1,149,603,fit
1,150,752,fit
1,151,589,fit
1,152,637,fit
1,153,123,fit
1,155,888,fit
1,156,493,fit
1,157,114,fit
1,160,1953,fit
1,161,959,fit
1,162,742,fit
1,163,1445,fit
1,164,278,fit
1,166,1486,fit
1,167,836,fit
1,168,283,fit
1,169,1875,fit
1,171,206,fit
1,172,1364,fit
1,173,528,fit
1,174,564,fit
1,175,1154,fit
1,176,698,fit
1,178,730,fit
1,180,1656,fit
1,182,2002,fit
1,183,572,fit
1,184,1932,fit
1,185,391,fit
1,186,1674,fit
1,187,1833,fit
1,189,94,fit
1,190,1981,fit
1,191,773,fit
1,193,786,fit
1,196,526,fit
1,197,769,fit
1,198,413,fit
1,201,1027,fit
1,202,1271,fit
1,203,308,fit
1,204,1334,fit
1,205,911,fit
1,206,218,fit
1,207,899,fit
1,208,1934,fit
1,212,1392,fit
1,215,1741,fit
1,216,1142,fit
1,217,53,fit
1,218,1371,fit
1,220,1209,fit
1,222,952,fit
1,224,174,fit
1,227,390,fit
1,229,1684,fit
1,230,1214,fit
1,231,851,fit
1,233,1290,fit
1,234,1208,fit
1,235,329,fit
1,236,869,fit
1,237,17,fit
1,238,396,fit
1,241,694,fit
1,244,1899,fit
1,245,1136,fit
1,246,1243,fit
1,249,820,fit
1,250,1593,fit
1,252,1537,fit
1,253,502,fit
1,255,647,fit
1,256,1147,fit
1,257,1207,fit
1,262,1066,fit
1,265,1668,fit
1,266,1192,fit
1,267,1004,fit
1,270,224,fit
1,271,1710,fit
1,272,1404,fit
1,273,791,fit
1,274,879,fit
1,275,1302,fit
1,276,568,fit
1,278,914,fit
1,280,485,fit
1,281,1847,fit
1,283,1382,fit
1,284,1820,fit
1,285,472,fit
1,286,1865,fit
1,287,644,fit
1,291,834,fit
1,292,1554,fit
1,293,892,fit
1,294,1384,fit
1,295,1954,fit
1,296,639,fit
1,297,475,fit
1,299,835,fit
1,300,457,fit
1,301,2031,fit
1,302,1412,fit
1,303,728,fit
1,305,759,fit
1,306,41,fit
1,307,1269,fit
1,308,541,fit
1,309,1926,fit
1,310,2030,fit
1,311,1960,fit
1,312,1900,fit
1,313,804,fit
1,316,1082,fit
1,317,1456,fit
1,318,66,fit
1,319,545,fit
1,320,1854,fit
1,321,42,fit
1,322,1170,fit
1,325,540,fit
1,327,438,fit
1,328,1610,fit
1,329,1669,fit
1,332,1747,fit
1,333,205,fit
1,335,170,fit
1,336,1190,fit
1,339,1683,fit
1,340,1479,fit
1,342,671,fit
1,343,1074,fit
1,344,334,fit
1,345,428,fit
1,346,1719,fit
1,349,1458,fit
1,350,304,fit
1,352,1814,fit
1,354,296,fit
1,355,340,fit
1,356,1276,fit
1,359,961,fit
1,361,492,fit
1,362,1955,fit
1,364,1523,fit
1,365,1651,fit
1,366,2022,fit
1,369,1959,fit
1,370,51,fit
1,372,1698,fit
1,373,1378,fit
1,376,6,fit
1,377,609,fit
1,379,148,fit
1,380,369,fit
1,382,1087,fit
1,383,1437,fit
1,384,1782,fit
1,385,1974,fit
1,386,1515,fit
1,387,702,fit
1,388,486,fit
1,389,2019,fit
1,390,1660,fit
1,391,1414,fit
1,392,653,fit
1,393,333,fit
1,397,931,fit
1,402,1274,fit
1,407,1979,fit
1,409,89,fit
1,410,725,fit
1,412,1444,fit
1,413,923,fit
1,416,519,fit
1,417,1829,fit
1,419,441,fit
1,420,1913,fit
1,423,379,fit
1,424,1434,fit
1,428,1673,fit
1,429,663,fit
1,430,1001,fit
1,431,1707,fit
1,434,501,fit
1,435,1298,fit
1,436,436,fit
1,437,925,fit
1,441,1320,fit
1,442,397,fit
1,443,1118,fit
1,444,1503,fit
1,445,1638,fit
1,446,1507,fit
1,448,1253,fit
1,449,279,fit
1,450,1616,fit
1,457,1450,fit
1,459,448,fit
1,462,523,fit
1,463,926,fit
1,465,718,fit
1,466,1534,fit
1,467,1293,fit
1,468,1012,fit
1,470,1381,fit
1,471,1964,fit
1,476,196,fit
1,477,986,fit
1,478,1614,fit
1,480,1128,fit
1,481,189,fit
1,483,343,fit
1,484,1883,fit
1,485,679,fit
1,486,487,fit
1,487,1721,fit
1,489,235,fit
1,490,1603,fit
1,491,882,fit
1,493,1992,fit
1,494,784,fit
1,495,1054,fit
1,496,1184,fit
1,497,481,fit
1,498,1313,fit
1,502,1262,fit
1,503,1818,fit
1,504,1736,fit
1,506,476,fit
1,508,1806,fit
1,509,1195,fit
1,510,366,fit
1,511,246,fit
1,516,1863,fit
1,518,461,fit
1,519,1188,fit
1,521,81,fit
1,522,561,fit
1,524,1277,fit
1,526,1611,fit
1,531,141,fit
1,532,1931,fit
1,535,164,fit
1,536,1679,fit
1,537,674,fit
1,539,2014,fit
1,540,1579,fit
1,541,1030,fit
1,544,3,fit
1,545,792,fit
1,548,900,fit
1,549,183,fit
1,550,491,fit
1,551,1746,fit
1,552,1305,fit
1,553,54,fit
1,556,684,fit
1,557,1115,fit
1,559,46,fit
1,563,1368,fit
1,567,1270,fit
1,568,885,fit
1,569,1574,fit
1,572,713,fit
1,573,1973,fit
1,575,1485,fit
1,579,299,fit
1,580,1980,fit
1,581,1699,fit
1,582,427,fit
1,583,1218,fit
1,584,217,fit
1,585,645,fit
1,586,1812,fit
1,590,1092,fit
1,592,967,fit
1,593,305,fit
1,594,627,fit
1,595,1652,fit
1,597,1564,fit
1,598,1449,fit
1,599,1628,fit
1,601,420,fit
1,602,1446,fit
1,603,754,fit
1,604,661,fit
1,605,1682,fit
1,606,422,fit
1,607,1701,fit
1,609,1756,fit
1,610,1926,fit
1,612,1327,fit
1,613,1560,fit
1,615,1294,fit
1,618,664,fit
1,620,19,fit
1,621,1958,fit
1,623,1035,fit
1,624,392,fit
1,625,500,fit
1,627,1657,fit
1,628,100,fit
1,630,1022,fit
1,632,251,fit
1,634,345,fit
1,635,186,fit
1,636,35,fit
1,637,1782,fit
1,638,1148,fit
1,640,1994,fit
1,641,1511,fit
1,642,1098,fit
1,643,2015,fit
1,644,1443,fit
1,646,724,fit
1,647,518,fit
1,648,1711,fit
1,651,1888,fit
1,653,133,fit
1,656,1725,fit
1,657,1047,fit
1,659,850,fit
1,661,1788,fit
1,662,1454,fit
1,663,990,fit
1,665,1316,fit
1,666,225,fit
1,667,1344,fit
1,668,364,fit
1,669,1678,fit
1,670,1877,fit
1,671,2022,fit
1,672,1468,fit
1,673,591,fit
1,674,1126,fit
1,676,1304,fit
1,677,1106,fit
1,678,405,fit
1,679,272,fit
